rank,tier,lat,lon,h,w,pred,true,intervention,cmf,expected_severity_reduction_pct
1,CRITICAL,41.8875,-87.6225,49,65,6.351268972067127,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
2,CRITICAL,41.8925,-87.63250000000001,50,63,5.112235405016421,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
3,CRITICAL,41.8775,-87.6275,47,64,4.794591731549842,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
4,CRITICAL,41.7525,-87.5875,22,72,4.488774456858299,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
5,CRITICAL,41.7675,-87.6225,25,65,3.876269030241275,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
6,CRITICAL,41.8825,-87.6275,48,64,3.799634972321301,4,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
7,CRITICAL,41.8875,-87.63250000000001,49,63,3.788305898692392,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
8,CRITICAL,41.8925,-87.6375,50,62,3.78470597890338,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
9,CRITICAL,41.7375,-87.5875,19,72,3.774403374830319,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
10,CRITICAL,41.8825,-87.6375,48,62,3.696150696584961,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
11,CRITICAL,41.8975,-87.6175,51,66,3.673575900441923,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
12,CRITICAL,41.8675,-87.6225,45,65,3.67202414446,1,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
13,CRITICAL,41.7575,-87.5875,23,72,3.626404079756857,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
14,CRITICAL,41.8675,-87.6425,45,61,3.437435301635434,4,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
15,CRITICAL,41.8875,-87.6275,49,64,3.301524371350405,3,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
16,CRITICAL,41.8675,-87.7225,45,45,3.298639672826307,0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
17,CRITICAL,41.8825,-87.64750000000001,48,60,3.283882752213369,2,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
