model,rank,tier,lat,lon,h,w,pred,true,intervention,cmf,expected_severity_reduction_pct
convlstm,1,CRITICAL,41.7175,-87.5425,15,81,3.942389853298664,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,2,CRITICAL,41.8275,-87.6025,37,69,1.8974424302577968,2.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,3,CRITICAL,41.9225,-87.63250000000001,56,63,1.889001626521349,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,4,CRITICAL,41.8475,-87.6125,41,67,1.6896321475505829,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,5,CRITICAL,41.8225,-87.5975,36,70,1.6736161522567272,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,6,CRITICAL,41.8325,-87.6025,38,69,1.557208709884435,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,7,CRITICAL,41.9275,-87.63250000000001,57,63,1.556298889219761,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,8,CRITICAL,41.8325,-87.6075,38,68,1.4928844831883907,3.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,9,CRITICAL,41.7225,-87.5425,16,81,1.4782547131180763,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,10,CRITICAL,41.8375,-87.6075,39,68,1.317597046494484,2.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,11,CRITICAL,41.7225,-87.5475,16,80,1.3171286024153233,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,12,CRITICAL,41.8825,-87.6225,48,65,1.2620482072234154,3.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,13,CRITICAL,41.7375,-87.6825,19,53,1.25894778361544,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,14,CRITICAL,41.8425,-87.6125,40,67,1.222472865600139,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,15,CRITICAL,41.7125,-87.5425,14,81,1.2152443826198578,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,16,CRITICAL,41.6425,-87.6175,0,66,1.1976802009157836,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,17,CRITICAL,41.8175,-87.5975,35,70,1.1866396847181022,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,18,CRITICAL,41.9625,-87.64750000000001,64,60,1.1770356721244752,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,19,CRITICAL,41.9125,-87.6275,54,64,1.1187848006375134,3.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,20,CRITICAL,41.9075,-87.7775,53,34,1.0844769701361656,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
