h,w,n_cameras,violation_score,total_violations,lat,lon,addresses,pred,true,log_violation_score,high_violations,low_severe,is_preventative,is_enforcement_gap,z_viol,z_pred,preventative_score,enforcement_gap_score
4,63,1,176.57765731793543,749219.0,41.6632,-87.6337,445 W 127th St,0.1577210135379435,0,5.179408019254156,True,True,True,False,1.326741274078789,-1.147624543152713,2.4743658172315017,-2.4743658172315017
10,46,1,24.44796163069544,50974.0,41.6912,-87.7172,3843 W 111th St,0.0977201471261754,0,3.236635646692462,False,True,False,False,-0.4544063131638487,-1.3129774384520845,0.8585711252882358,-0.8585711252882358
10,57,1,19.125694093891973,37888.0,41.6907,-87.6641,11153 S Vincennes Ave,0.904943690971618,0,3.0019973118473797,False,False,False,True,-0.6695244144331609,0.39970135513868854,-1.0692257695718494,1.0692257695718494
12,53,1,380.34556574923545,248746.0,41.7015,-87.6816,10540 S Western Ave,0.179979011879973,0,5.943705960770874,True,True,True,False,2.0274550857910705,-1.0884556084487451,3.1159106942398154,-3.1159106942398154
13,52,1,90.50967741935484,28058.0,41.7065,-87.6892,2700 W 103rd St,0.0384010867448247,0,4.516444730834797,True,True,True,False,0.7189317960998716,-1.4855864000886019,2.2045181961884737,-2.2045181961884737
13,61,1,22.093167701863354,3557.0,41.70684,-87.6448,851 W 103rd St,1.1806608306429844,2,3.1395368032969264,False,False,False,True,-0.5434272263086884,0.8197033349894769,-1.3631305612981652,1.3631305612981652
13,76,1,162.99305555555554,46942.0,41.7081,-87.5676,2310 E 103rd St,0.6050585186945149,0,5.099824082754217,True,False,False,False,1.2537781526744893,-0.13251838445530892,1.3862965371297982,-1.3862965371297982
13,84,1,124.16678596993556,520383.0,41.7076,-87.5298,10318 S Indianapolis Ave,0.0223071281582446,0,4.8296471356909025,True,True,True,False,1.00607799789214,-1.5341195533550658,2.5401975512472057,-2.5401975512472057
14,56,1,15.24390243902439,8750.0,41.714,-87.6667,1732 W 99th St,0.1851439480803703,0,2.7877176038360814,False,True,False,False,-0.865977581211587,-1.0748851278243312,0.20890754661274424,-0.20890754661274424
16,65,2,35.22009180027793,146846.0,41.72175,-87.62145,57 E 95th St | 62 E 95th St,0.965729426621566,2,3.5896139869710484,False,False,False,True,-0.13079324968018527,0.4972978428106259,-0.6280910924908112,0.6280910924908112
16,82,3,69.27249863338952,289428.0,41.722166666666666,-87.53666666666668,3542 E 95th St | 3535 E 95th St | 9618 S. Ewing,0.6550677962800857,1,4.252380522183868,False,False,False,True,0.4768358435536849,-0.03718752183690878,0.5140233653905937,-0.5140233653905937
18,60,1,71.81168831168831,11059.0,41.73469,-87.6459,8740 S Vincennes St,0.6726561544617963,0,4.287876496047252,False,False,False,True,0.5093788059184567,-0.004342817655980465,0.5137216235744372,-0.5137216235744372
19,64,2,383.2705882352941,47786.0,41.73935,-87.62610000000001,8550 S Lafayette Ave | 49 W 85th St,2.155898170214461,1,5.951346961296394,True,False,False,False,2.0344604096480303,1.9682227609751415,0.06623764867288884,-0.06623764867288884
19,67,1,76.65682656826569,20774.0,41.7386,-87.6147,8590 S Martin Luther King Dr,1.2703202511606582,2,4.3522994603249705,False,False,False,True,0.568442239703535,0.9448969651587831,-0.37645472545524805,0.37645472545524805
19,75,1,30.80231996133398,63730.0,41.737,-87.5729,2109 E 87th St,0.1805614098462143,0,3.4595392418839923,False,True,False,False,-0.2500467050232424,-1.0869224334853982,0.8368757284621557,-0.8368757284621557
20,57,3,99.93960651969212,405736.0,41.7424,-87.66253333333333,8345 S Ashland Ave | 8318 S Ashland Ave | 1507 W 83rd St,1.2067231819292896,1,4.6145223827441475,True,False,False,False,0.8088500878812293,0.856617781069956,-0.047767693188726756,0.047767693188726756
20,71,1,127.69377990430624,133440.0,41.7442,-87.5933,1215 E 83RD ST,0.3825689642794156,0,4.857435783242269,True,False,False,False,1.0315548284451648,-0.5961480950597567,1.6277029235049216,-1.6277029235049216
21,43,1,57.96875,1855.0,41.74931,-87.73281,4451 W 79th St,0.2556499967298865,1,4.077007642568824,False,True,False,False,0.31605273493749,-0.8953293432927785,1.2113820782302684,-1.2113820782302684
21,44,1,9.314146341463417,9547.0,41.74949,-87.7289,4350 W 79th St,0.6988532281854825,0,2.3335163841516713,False,False,False,True,-1.282392503509881,0.043943095818552824,-1.3263355993284338,1.3263355993284338
21,46,2,19.234849592225864,39986.0,41.749545,-87.71934999999999,3832 W 79th St | 3851 W 79th St,0.1909342241122099,0,3.0074063452498385,False,True,False,False,-0.6645653739762489,-1.0597417518673655,0.3951763778911166,-0.3951763778911166
21,76,1,55.38518518518519,7477.0,41.7471,-87.5662,8134 S Yates Blvd,0.3518568109138174,0,4.032206449977611,False,False,False,True,0.2749786815813511,-0.6659465314193043,0.9409252130006553,-0.9409252130006553
22,45,2,30.361377303858458,62683.0,41.75045,-87.72194999999999,7833 S Pulaski Rd | 7826 S Pulaski Rd,0.2593137484672775,0,3.44557711364593,False,False,False,True,-0.26284728391515116,-0.8862766476876303,0.623429363772479,-0.623429363772479
22,52,1,8.674987998079693,18070.0,41.7502,-87.6874,2550 W 79th St,0.1491525895915071,0,2.269543998406517,False,True,False,False,-1.3410428436780875,-1.1707059590056115,-0.17033688467247599,0.17033688467247599
22,53,2,56.55425187660805,120251.0,41.752645,-87.68295,7739 S Western Ave | 7738 S Western Ave,1.0131849649033733,0,4.052728013874207,False,False,False,True,0.29379299793518643,0.5714162715835841,-0.2776232736483977,0.2776232736483977
22,68,1,178.75,22880.0,41.75372,-87.60533,7732 S Cottage Grove Ave,1.6216123872502135,1,5.191566996601156,True,False,False,False,1.337888711354928,1.3919092418235297,-0.05402053046860167,0.05402053046860167
23,58,1,28.7280385078219,47746.0,41.756,-87.657,1306 W 76th St,0.7405514095278537,3,3.3920906579690544,False,False,False,True,-0.31188404850194124,0.11928531746863502,-0.43116936597057626,0.43116936597057626
23,63,3,50.38787388090668,97958.0,41.75653333333333,-87.63306666666666,346 W 76th St | 7518 S Vincennes Ave | 341 W 76th St,0.9796670583902384,2,3.939402227914516,False,False,False,True,0.18989510794804182,0.5192503152877903,-0.3293552073397485,0.3293552073397485
23,74,1,33.51283863368669,142262.0,41.75869,-87.5785,1901 E 75th St,1.209633696031329,0,3.5413313891222744,False,False,False,True,-0.17505908024208214,0.8607131111549817,-1.035772191397064,1.035772191397064
24,48,1,20.55938242280285,86555.0,41.7644,-87.7097,3450 W 71st St,0.218213121418811,0,3.0708111010481045,False,True,False,False,-0.6064354409975958,-0.9893753553046644,0.38293991430706853,-0.38293991430706853
24,69,1,32.7280701754386,41041.0,41.7647,-87.6037,7157 S South Chicago Ave,0.1555414644950698,0,3.518330433545249,False,True,False,False,-0.1961465205973688,-1.1534795197359964,0.9573329991386276,-0.9573329991386276
25,49,2,98.93388641165032,420712.0,41.7684,-87.70285,6909 S Kedzie Ave | 6818 S Kedzie Ave,0.0655180614755794,0,4.604508831457891,True,True,True,False,0.7996695925410939,-1.40548879293284,2.2051583854739336,-2.2051583854739336
25,62,1,60.74193548387097,7532.0,41.769,-87.6382,504 W 69th Ave,1.0708162458175563,0,4.1229633675277535,False,False,False,True,0.3581852718144957,0.6591132322055433,-0.3009279603910476,0.3009279603910476
25,67,1,47.996350364963504,13151.0,41.76569,-87.61362,441 E 71st St,1.197386775112403,2,3.891745812988995,False,False,False,True,0.14620336636263886,0.8434441479016669,-0.697240781539028,0.697240781539028
25,69,2,122.62234983922828,152978.0,41.7655,-87.60419999999999,7122 S South Chicago Ave | 819 E 71st St,0.1616606760809412,1,4.817231352618888,True,True,True,False,0.9946951192930961,-1.1370692446777062,2.1317643639708024,-2.1317643639708024
26,42,1,27.68379446640316,28016.0,41.77129,-87.7358,4516 W Marquette Rd,0.1210679500630879,0,3.356332310550617,False,True,False,False,-0.34466755681596606,-1.2475847001350997,0.9029171433191336,-0.9029171433191336
